Method,Average_Rank,AUC_Scores
DESP,2.3,"[0.938423645320197, 0.8349753694581281, 0.8842364532019705, 0.8103448275862069, 0.8977832512315271, 0.9544334975369457, 0.8448275862068966, 0.8497536945812808, 0.8620689655172414, 0.8251231527093597]"
FIRE-DESP,2.3,"[0.938423645320197, 0.8349753694581281, 0.8842364532019705, 0.8103448275862069, 0.8977832512315271, 0.9544334975369457, 0.8448275862068966, 0.8497536945812808, 0.8620689655172414, 0.8251231527093597]"
CB,2.6,"[0.9421182266009852, 0.854679802955665, 0.8669950738916257, 0.8817733990147782, 0.9236453201970444, 0.9384236453201971, 0.9064039408866996, 0.8226600985221675, 0.8559113300492611, 0.8078817733990148]"
DESKNN,3.9,"[0.9248768472906403, 0.7906403940886699, 0.8842364532019705, 0.7943349753694581, 0.8719211822660098, 0.9051724137931034, 0.8140394088669951, 0.8386699507389163, 0.875615763546798, 0.8041871921182265]"
FIRE-DESKNN,3.9,"[0.9248768472906403, 0.7906403940886699, 0.8842364532019705, 0.7943349753694581, 0.8719211822660098, 0.9051724137931034, 0.8140394088669951, 0.8386699507389163, 0.875615763546798, 0.8041871921182265]"
